Adult,Dog,Sleep,Paw,Set,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score8,Score9,Score10,Score11,Score12
-1,-1,-1,-1,-1,4.5,7.5,6.0,5.5,1.5,2.5,0,9.5,7.5,5.5,7.5,7.5
-1,-1,-1,-1,1,3.5,4.5,8.0,1.5,0.5,2.5,0.5,7.5,7.0,4.5,6.5,9.8
-1,-1,-1,1,-1,1.0,9.0,5.5,4.5,3.5,2.5,0.5,9.5,8.0,6.5,7.5,8.3
-1,-1,-1,1,1,1.0,7.5,9.0,6.5,4.5,3.5,7.5,8.5,7.5,6.0,7.5,9.5
-1,-1,1,-1,-1,1.5,7.5,6.5,5.5,2.5,6.5,2.5,9.5,8.2,6.5,6.5,8.5
-1,-1,1,-1,1,5.5,9.5,9.5,7.5,5.5,6.5,2.5,9.5,8.5,8.0,6.5,8.5
-1,-1,1,1,-1,4.5,8.5,10,6.5,8.5,6.5,3.5,10,9.5,6.5,7.5,10
-1,-1,1,1,1,6.5,7.5,8.5,5.5,3.5,7.5,3.5,9.5,9.5,6.5,6.5,7.5
-1,1,-1,-1,-1,9.0,8.0,8.0,7.0,6.5,6.0,0,9.5,7.0,7.0,9.0,9.0
-1,1,-1,-1,1,5.0,8.0,8.5,6.0,1.5,4.0,3.0,9.0,7.0,6.5,8.0,8.0
-1,1,-1,1,-1,5.0,9.5,7.0,6.5,7.0,4.0,0.0,9.0,9.5,8.5,7.5,8.0
-1,1,-1,1,1,5.5,6.0,8.0,3.0,2.5,2.0,0.0,8.5,9.0,9.0,9.5,9.5
-1,1,1,-1,-1,2.0,6.0,10.0,3.0,2.0,2.0,2.0,6.5,9.0,2.5,8.5,2.0
-1,1,1,-1,1,5.5,8.0,7.5,4.0,5.0,3.5,3.5,8.5,10.0,9.0,7.5,10
-1,1,1,1,-1,2.5,8.0,8.5,7.5,9.0,3.5,4.5,9.0,9.5,8.5,9.0,10
-1,1,1,1,1,3.0,5.5,8.0,4.0,5.0,2.5,2.5,8.5,9.5,9.5,8.5,10
1,-1,-1,-1,-1,1.5,3.5,4.0,5.5,2.0,4.5,0.5,5.0,4.5,2.0,4.5,7.3
1,-1,-1,-1,1,6.0,4.0,5.0,2.0,0.5,5.0,1.5,7.5,4.5,2.5,6.5,9.0
1,-1,-1,1,-1,5.0,4.5,7.0,5.5,0.5,1.5,0.0,9.5,5.0,2.0,5.5,9.5
1,-1,-1,1,1,4.5,2.5,6.0,5.5,3.5,5.0,0,6.0,7.5,1.5,6.5,6.5
1,-1,1,-1,-1,5.0,8.5,8.0,6.5,8.5,5.5,4.5,7.0,7.5,6.5,8.0,10
1,-1,1,-1,1,5.5,6.0,7.0,4.5,6.0,5.5,0.5,7.0,8.5,5.5,6.5,10
1,-1,1,1,-1,4.0,8.0,7.0,7.0,2.0,7.0,3.0,8.0,9.0,6.5,6.0,7.0
1,-1,1,1,1,2.5,7.0,8.0,5.5,2.0,3.0,0.5,9.5,7.5,4.7,7.0,8.5
1,1,-1,-1,-1,1.0,6.5,7.0,2.0,6.5,2.0,0.0,6.0,5.5,7.0,5.5,8.9
1,1,-1,-1,1,1.5,6.0,5.5,4.0,4.0,8.0,2.0,7.5,5.0,6.0,7.0,7.5
1,1,-1,1,-1,8.5,3.5,3.5,2.5,1.5,1.5,0,4.0,7.0,9.0,5.0,8.5
1,1,-1,1,1,2.0,7.5,7.5,4.5,5.5,3.5,5.0,9.0,7.5,7.5,7.5,9.5
1,1,1,-1,-1,2.0,7.0,7.0,8.5,5.0,4.0,0.5,9.0,7.0,8.0,7.0,7.6
1,1,1,-1,1,2.5,5.5,3.0,7.0,4.5,5.5,8.5,8.0,6.5,7.5,6.5,8.0
1,1,1,1,-1,2.0,7.0,8.0,7.0,7.0,5.5,2.5,10.0,8.5,8.5,7.0,8.5
1,1,1,1,1,2.0,9.0,7.0,8.5,7.5,6.0,2.0,9.5,7.5,9.5,7.5,8.5
